UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000003914;TECK GUAN GROUP;ATLANTICA SDN BHD;ATLANTICA;Not RSPO Certified;;13/01/2026;5.712.135;117.686.628;5.712135, 117.686628;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000003915;TECK GUAN GROUP;BRANTIAN PALM OIL SDN BHD;BRANTIAN;Not RSPO Certified;;13/01/2026;4.436.611;117.516.806;4.436611, 117.516806;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000003916;TECK GUAN GROUP;KONSEP MUKTAMAD SDN BHD;REX;Not RSPO Certified;;13/01/2026;4.487.203;117.598.549;4.487203, 117.598549;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000003917;TECK GUAN GROUP;PROSPEROUS SEBATIK SDN BHD;PROSPEROUS SEBATIK;Not RSPO Certified;;13/01/2026;418.921;117.787.665;4.18921, 117.787665;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000003918;TECK GUAN GROUP;SUNGAI BURUNG INDUSTRIES SDN BHD;SUNGAI BURUNG;Not RSPO Certified;;13/01/2026;4.404.281;118.137.855;4.404281, 118.137855;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000003922;TEE TEH SDN BHD;TEE TEH SDN BHD;TEE TEH;Not RSPO Certified;;13/01/2026;2.840.728;102.865.883;2.840728, 102.865883;MYS;Malaysia;Pahang;Rompin;1-Fully Verified;
PO1000003923;TH PLANTATIONS BERHAD;THP SARIBAS SDN BHD;GEDONG;Not RSPO Certified;;13/01/2026;1.155.266;110.676.239;1.155266, 110.676239;MYS;Malaysia;Sarawak;Serian;1-Fully Verified;
PO1000003924;TH PLANTATIONS BERHAD;TH PLANTATIONS BHD;BUKIT LAWIANG;Not RSPO Certified;;13/01/2026;1.965.939;103.434.303;1.965939, 103.434303;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000003925;TH PLANTATIONS BERHAD;TH PLANTATIONS BHD;PASIR BESAR;Not RSPO Certified;;13/01/2026;2.619.444;102.511.667;2.619444, 102.511667;MYS;Malaysia;Negeri Sembilan;Tampin;1-Fully Verified;
PO1000003926;TH PLANTATIONS BERHAD;THP KOTA BAHAGIA SDN BHD;KOTA BAHAGIA;Not RSPO Certified;;13/01/2026;2.986.505;102.927.032;2.986505, 102.927032;MYS;Malaysia;Pahang;Rompin;1-Fully Verified;
