company,mill_name,group_name,parent_company,country,latitude,longitude,rspo_status
sdguthrie,ELPHIL (SOU 3),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.89058,101.093096,RSPO Certified
sdguthrie,BUKIT PUTERI (SOU 10),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.202694,101.862639,RSPO Certified
sdguthrie,SERI INTAN (SOU 5),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.969228,100.985558,RSPO Certified
sdguthrie,BUKIT BENUT (SOU 22),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,1.931143,103.347365,RSPO Certified
sdguthrie,SELABA (SOU 5),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.9889722,101.081278,RSPO Certified
sdguthrie,FLEMINGTON (SOU 4),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.928056,100.857222,RSPO Certified
sdguthrie,KERDAU (SOU 11),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.569444,102.278333,RSPO Certified
sdguthrie,KOK FOH (SOU 16),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.784667,102.504167,RSPO Certified
sdguthrie,LABU (SOU 13),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.748889,101.8045,Not RSPO Certified
sdguthrie,SUA BETONG (SOU 15),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.52833,101.895278,Not RSPO Certified
sdguthrie,MELALAP (SOU 27),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,5.230789,115.986263,RSPO Certified
sdguthrie,HADAPAN (SOU 24),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,1.76216,103.448669,RSPO Certified
sdguthrie,CHERSONESE (SOU 2),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.978457,100.461902,RSPO Certified
sdguthrie,PEKAKA (SOU 34),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.461379,113.654176,Not RSPO Certified
sdguthrie,LAVANG (SOU 31),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.4283333,113.60028,RSPO Certified
sdguthrie,RAJAWALI (SOU 32),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.372505,113.400597,RSPO Certified
sdguthrie,DERAWAN (SOU 33),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.390203,113.345417,RSPO Certified
sdguthrie,ULU REMIS (SOU 23),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,1.834444,103.4625,RSPO Certified
sdguthrie,KEMPAS (SOU 17),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.243522,102.481386,Not RSPO Certified
sdguthrie,PAGOH (SOU 19),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.077424,102.718519,RSPO Certified
sdguthrie,SEPANG (SOU 09A),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.678486,101.731956,Not RSPO Certified
sdguthrie,MOSTYN (SOU 30B),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.666954,118.203458,Not RSPO Certified
sdguthrie,ERAP / MARKHAM FAMRING ,SIME DARBY PLANTATION BHD,MARKHAM FARMING COMPANY LTD,Papua New Guinea,-6.58087,146.64222,RSPO Certified
sdguthrie,TAMIANG POM,SIME DARBY,PT PADANG PALMA PERMAI,Indonesia,4.30555,98.0267,Not RSPO Certified
musimmas,BATANG KULIM,MUSIM MAS,MUSIM MAS HOLDINGS PTE LTD,Indonesia,0.077043,102.030838,RSPO Certified
musimmas,AGROWIRATAMA,MUSIM MAS,AGRO WIRATAMA,Indonesia,0.198958,99.626589,RSPO Certified
musimmas,SUKAJADI SAWIT MEKAR 1,MUSIM MAS,SUKAJADI SAWIT MEKAR,Indonesia,-2.381111,112.539722,RSPO Certified
musimmas,SUKAJADI SAWIT MEKAR 2,MUSIM MAS,SUKAJADI SAWIT MEKAR,Indonesia,-2.37025,112.6026111,RSPO Certified
musimmas,MAJU ANEKA SAWIT,MUSIM MAS,MAJU ANEKA SAWIT,Indonesia,-2.478167,112.647611,RSPO Certified
musimmas,BERKAT SAWIT SEJATI,MUSIM MAS,BERKAT SAWIT SEJATI,Indonesia,-2.3192778,103.7116389,RSPO Certified
musimmas,UNGGUL LESTARI,MUSIM MAS,UNGGUL LESTARI,Indonesia,-1.5958444,112.598831,RSPO Certified
musimmas,SIRINGO RINGO,MUSIM MAS,SIRINGO-RINGO,Indonesia,2.1,99.77,RSPO Certified
musimmas,GUNTUNG IDAMAN NUSA 1,MUSIM MAS,GUNTUNG IDAMAN NUSA,Indonesia,0.16161,103.289583,RSPO Certified
musimmas,BAHANA NUSA INTERINDO,MUSIM MAS,BAHANA NUSA INTERINDO,Indonesia,1.69686,100.701833,Not RSPO Certified
musimmas,GUNTUNG IDAMAN NUSA 2,MUSIM MAS,GUNTUNG IDAMAN NUSA,Indonesia,0.0530444,103.20761,RSPO Certified
musimmas,MULTI PERSADA GATRA MEGAH,MUSIM MAS,MULTI PERSADA GATRA MEGAH,Indonesia,-0.770833,114.741222,RSPO Certified
musimmas,SINAR AGRO RAYA,MUSIM MAS,SINAR AGRO RAYA,Indonesia,0.419917,101.756389,Not RSPO Certified
musimmas,INDOMAKMUR SAWIT BERJAYA,MUSIM MAS,INDOMAKMUR SAWIT BERJAYA,Indonesia,0.93491,100.351975,Not RSPO Certified
musimmas,SARANA ESA CITA,MUSIM MAS,SARANA ESA CITA,Indonesia,1.358028,109.383631,RSPO Certified
musimmas,GLOBALINDO ALAM PERKASA PALM OIL MILL,UNKNOWN,MUSIM MAS HOLDINGS PTE LTD,Indonesia,-2.667978,112.772158,RSPO Certified
musimmas,PT. LESTARI ABADI PERKASA,UNKNOWN,MUSIM MAS HOLDINGS PTE LTD,Indonesia,-1.7241,110.6734,RSPO Certified
musimmas,AGRO PALINDO SAKTI,MUSIM MAS,PT INTIBENUA PERKASATAMA - LUBUK GAUNG,Indonesia,-2.711058889,104.3430056,Not RSPO Certified
ioi,PAMOL SABAH,IOI CORPORATION,PAMOL ESTATES (SABAH) SDN BHD,Malaysia,6.002431,117.398389,RSPO Certified
ioi,GOMALI,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,2.611826,102.678656,RSPO Certified
ioi,PAMOL KLUANG,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,2.110445,103.392307,RSPO Certified
ioi,SAKILAN,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,5.839281,117.8437,RSPO Certified
ioi,BATURONG,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,4.7553,118.0886,RSPO Certified
ioi,BUKIT LEELAU,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,3.30273,103.137889,RSPO Certified
ioi,MAYVIN,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,5.5553,117.226439,RSPO Certified
ioi,PUKIN,IOI CORPORATION,SYARIKAT PUKIN LADANG KELAPA SAWIT SDN BHD,Malaysia,2.72235,102.911,RSPO Certified
ioi,SYARIMO,IOI CORPORATION,SYARIMO SDN BHD,Malaysia,5.334037,117.781334,RSPO Certified
ioi,LADANG SABAH,IOI CORPORATION,LADANG SABAH SDN BHD,Malaysia,5.729989,117.57775,RSPO Certified
ioi,LEEPANG,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,5.549056,118.437595,RSPO Certified
ioi,MORISEM,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,5.493525,118.370047,RSPO Certified
ioi,UNICO,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,5.150056,118.222056,Not RSPO Certified
ioi,UNICO DESA,IOI CORPORATION,IOI CORPORATION BHD,Malaysia,5.4130889,118.529333,RSPO Certified
ioi,SUKSES KARYA SAWIT,IOI CORPORATION,SUKSES KARYA SAWIT,Indonesia,-2.801034,110.59375,RSPO Certified
klk,KEKAYAAN PALM OIL MILL,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,2.204546,103.270394,RSPO Certified
klk,BORNION,KUALA LUMPUR KEPONG (KLK),KL-KEPONG (SABAH) SDN BHD,Malaysia,5.609,117.7899,RSPO Certified
klk,RIMMER,KUALA LUMPUR KEPONG (KLK),KL-KEPONG (SABAH) SDN BHD,Malaysia,5.0193,118.5715,RSPO Certified
klk,LUNGMANIS,KUALA LUMPUR KEPONG (KLK),KL-KEPONG (SABAH) SDN BHD,Malaysia,5.08395,118.58825,Not RSPO Certified
klk,JERAM PADANG,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,2.735111,102.4085,RSPO Certified
klk,MANDAU,KUALA LUMPUR KEPONG (KLK),ADEI PLANTATION AND INDUSTRY,Indonesia,1.081944,101.333361,RSPO Certified
klk,PINANG,KUALA LUMPUR KEPONG (KLK),KL-KEPONG (SABAH) SDN BHD,Malaysia,4.450414,118.278194,RSPO Certified
klk,MILL 2,KUALA LUMPUR KEPONG (KLK),KL-KEPONG (SABAH) SDN BHD,Malaysia,4.4550861,118.223825,RSPO Certified
klk,TAPUNG KANAN,KUALA LUMPUR KEPONG (KLK),SEKARBUMI ALAMLESTARI,Indonesia,0.757222,101.219722,RSPO Certified
klk,TANJONG MALIM,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,3.695,101.485667,RSPO Certified
klk,BATU LINTANG,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,5.193591,100.62843,RSPO Certified
klk,TUAN MEE,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,3.265156,101.463279,RSPO Certified
klk,CHANGKAT CHERMIN,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,4.27527,100.78498,RSPO Certified
klk,NILO 1,KUALA LUMPUR KEPONG (KLK),ADEI PLANTATION AND INDUSTRY,Indonesia,0.3480556,101.971667,RSPO Certified
klk,NILO 2,KUALA LUMPUR KEPONG (KLK),ADEI PLANTATION AND INDUSTRY,Indonesia,0.3525,102.094722,RSPO Certified
klk,KUALA PERTANG,KUALA LUMPUR KEPONG (KLK),KUALA LUMPUR KEPONG BHD,Malaysia,5.623056,102.238056,RSPO Certified
klk,STEELINDO WAHANA PERKASA,KUALA LUMPUR KEPONG (KLK),STEELINDO WAHANA PERKASA,Indonesia,-2.723503,108.062656,RSPO Certified
