company,mill_name,country,loss_post2020_ha_csv,loss_post2020_ha_gee,loss_on_palm_ha,loss_on_industrial_ha,pct_loss_to_palm
wilmar,AGROINDO INDAH PERSADA 1,Indonesia,1992.5664138555585,1566.6569317368026,1298.2276338281883,1015.3040255510045,82.9
wilmar,BUMI PRATAMA KHATULISTIWA,Indonesia,2119.54518163379,1669.5476605556175,62.035536916612415,41.7647546494124,3.7
wilmar,SINAR SIAK DIAN PERMAI,Indonesia,6877.78553872741,3906.288968256231,3346.7567243965805,2559.2741475024045,85.7
wilmar,SIAK PRIMA SAKTI,Indonesia,2798.32725366621,1534.6327827695825,1356.809498542664,743.2242021141684,88.4
wilmar,MURINI SAM-SAM PELINTUNG,Indonesia,767.0881717308606,680.7345204455304,10.794683566923235,5.7010593550754525,1.6
wilmar,AGRONUSA INVESTAMA 2 - PAHAUMAN,Indonesia,2956.234745342292,2704.6730372495826,36.42684487086885,29.499510965598564,1.3
wilmar,SINAR PERDANA CARAKA,Indonesia,2040.6408363654568,1939.5932881423957,1843.2403437582602,1029.2298487664734,95.0
wilmar,BULUH CINA,Indonesia,2498.858534856018,2371.8646274842176,2129.8337369018914,767.4556649568033,89.8
wilmar,AEK BATU,Indonesia,2564.4416643591258,2377.1355267707913,1575.5284636117956,249.73879704419886,66.3
wilmar,AGROINDO INDAH PERSADA 2,Indonesia,6543.229299525134,6213.3478344902705,301.2164263614545,90.17680819838071,4.8
wilmar,AGROINDO INDAH PERSADA 3,Indonesia,3729.465759599534,3568.066489040588,1339.0600831072122,1251.2763254181136,37.5
wilmar,MURINI SAM-SAM KANDIS,Indonesia,1464.82965171968,1254.7270304351753,909.9112106996718,662.6321797368865,72.5
wilmar,KERRY SAWIT INDONESIA 2,Indonesia,718.6085531571573,527.0973330124043,66.91889819406413,62.58470016177378,12.7
wilmar,AGRO PALINDO SAKTI 2,Indonesia,4010.3600799737783,3882.561353623109,65.34203797505765,19.302905730172704,1.7
wilmar,MUSTIKA SEMBULUH 2,Indonesia,1440.396892011693,913.1426517532739,101.87585291970595,82.7619756605111,11.2
wilmar,DAYA LABUHAN INDAH I,Indonesia,2286.770565704317,2097.7724811452285,1631.8384627098549,1033.8287659305274,77.8
wilmar,SARANA TITIAN PERMATA PKS 2,Indonesia,934.1921014781376,854.5501074502866,9.106354848339278,8.927775666906554,1.1
wilmar,AGRONUSA INVESTAMA 3 - SAMBAS,Indonesia,2723.580984703652,1516.6700746084548,51.48542523836973,50.949197155295636,3.4
wilmar,CALARO,Nigeria,1617.4295696116903,1193.7527016416195,21.098266005516052,2.9379285871982574,1.8
wilmar,EYOP INDUSTRIES LTD,Nigeria,3854.5893105765786,3651.182829517359,7.391362316906452,1.0685827061533928,0.2
gar,UJUNG TANJUNG,Indonesia,1692.721225189418,1537.9577331326177,1358.5695553305984,1028.838470154037,88.3
gar,LIBO,Indonesia,1029.4421124797,892.4618390955468,687.4241314355648,380.4321462159355,77.0
gar,SAM-SAM,Indonesia,1683.0936881828416,1487.7078388865382,1374.0974386895698,955.3426267573938,92.4
gar,SEKIJANG,Indonesia,6398.614656763668,6155.32639160878,6009.961181070584,5893.22045913704,97.6
gar,NAGA SAKTI,Indonesia,10197.36722048062,9701.552739285658,9550.753856331836,9380.411406456633,98.4
gar,RAMARAMA,Indonesia,3302.6504571324976,2718.3700393968065,2474.830646611926,2022.2137275253442,91.0
gar,BUMI PALMA,Indonesia,1920.9197881445173,1677.153437523719,398.5655327467357,112.44180999369013,23.8
gar,INDRA SAKTI,Indonesia,3747.219910004036,3452.5929624944074,1109.8080821001072,1045.3081234694118,32.1
gar,PADANG HALABAN,Indonesia,3495.0819632779985,3237.6323344009193,2291.615653817824,1244.515594836573,70.8
gar,LANGGA PAYUNG PALM OIL MILL,Indonesia,2310.4298156972973,1925.9864109916718,613.848700565772,183.64080399090753,31.9
gar,BATU AMPAR,Indonesia,5473.753031099172,3114.0047051175284,1283.0473413541913,1209.9414598345757,41.2
gar,TANAH LAUR,Indonesia,5015.063171583944,1685.1736154885264,1050.3548599910796,1035.4577809628904,62.3
gar,HANAU,Indonesia,5148.892359236773,2801.6170555030308,2080.667294068196,2074.4850304311685,74.3
gar,SUNGAI RUNGAU,Indonesia,4296.401658012184,1184.635636616892,873.2138458111708,852.2068383489462,73.7
gar,SEMILAR,Indonesia,1602.631872927733,222.21056418068272,194.19677173276162,194.19677173276162,87.4
gar,SUNGAI BUAYA,Indonesia,5061.510394607596,3567.4839322886037,3031.335157755338,2923.66743893077,85.0
gar,SUNGAI MERAH,Indonesia,4219.355571937479,2435.5495949935093,1793.724329598219,1619.1517714270487,73.6
gar,JELATANG,Indonesia,4190.9258858020685,3981.807002121852,546.3831114794402,116.86676454882995,13.7
gar,LANGLING,Indonesia,4592.111040275096,4158.857481804514,1889.0191435670733,823.2585602152582,45.4
gar,MASKAPAI PERKEBUAN LEIDONG WEST,Indonesia,9086.665451826697,8501.199321071337,6734.0582199369865,6543.3779686123125,79.2
gar,TANJUNG KEMBIRI,Indonesia,1021.2543219827144,852.7471079982381,57.94073677784672,42.94172157347202,6.8
gar,BUMI SAWIT,Indonesia,3996.1439963752873,2715.1717373741044,721.4435670577428,698.4214244388482,26.6
gar,PANGKALAN PANJI,Indonesia,2000.4147335664336,1574.3782202985653,80.17377130687237,69.54917784035206,5.1
gar,MUARA KANDIS,Indonesia,5574.675756398598,4631.408441423959,434.7189796878427,358.87453158947767,9.4
gar,PEKAWAI,Indonesia,906.3119478437104,779.3812792461878,14.6561159491539,7.0599692687392235,1.9
gar,KENANGA PALM OIL MILL,Indonesia,1808.0005329735748,1593.0787725589728,60.660287126898766,58.96287676692009,3.8
gar,SUNGAI BENGKAL,Indonesia,3706.95991382558,3568.0158830565583,192.48462802051912,184.44187629103075,5.4
gar,BUKIT PERAK,Indonesia,7426.112404479827,7009.246169691406,3382.648509507582,3177.4733680117656,48.3
gar,MUARA WAHAU,Indonesia,3986.046486494571,2194.0876032839806,348.2953848898995,339.73552763462067,15.9
gar,JAK LUAY,Indonesia,1678.3865867486918,1554.2774817030224,141.18185922132403,132.42205454038054,9.1
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,Indonesia,1190.8080181636376,492.0951743712027,176.0394686792703,167.46450580998376,35.8
gar,BATU KAPUR,Indonesia,4963.649568595475,3386.3111572767584,2616.2500247944217,2336.9693353612047,77.3
gar,BELIAN,Indonesia,603.3604397846452,544.4158340735178,27.086489215493202,26.460724361240864,5.0
gar,PERSADA GRAHA MANDIRI,Indonesia,974.110041542535,848.7916295578084,42.674398151215385,37.40007828640587,5.0
gar,SUNGAI KIKIM,Indonesia,3950.2770800374033,3452.231688029042,1170.238077296667,901.4035443998442,33.9
gar,PELAKAR,Indonesia,7437.942755793725,6628.691979574074,2836.4720250367245,2503.787004045996,42.8
gar,SENAKIN,Indonesia,1376.6961399425238,967.6151808594957,107.07288817833454,105.64415866653711,11.1
gar,SUNGAI KUPANG,Indonesia,4912.099958093767,2909.0846660575457,1602.8559599765958,1476.1476129407977,55.1
gar,KUAYAN,Indonesia,937.9538011474716,392.81310029535325,170.61638911378154,170.25899883669385,43.4
gar,TANGAR,Indonesia,2639.698200236716,535.8485334983935,446.1036363874872,441.36920316119983,83.3
gar,KAPUASINDO PALM INDUSTRY,Indonesia,1258.3929699599678,987.3820568110136,242.6578099731721,215.48536948155538,24.6
gar,KASUARI,Indonesia,4819.899186168423,3275.1346878369664,3026.3889487252814,3012.8181501792055,92.4
gar,SUNGAI MAGALAU,Indonesia,1810.028062578763,1101.222718953619,262.1932343009348,260.2287080052729,23.8
gar,JALEMO,Indonesia,1732.786004590231,1530.7550508962845,14.396367566316735,14.038878911762845,0.9
gar,SAWITA,Indonesia,3598.8941385097974,2345.3032967580602,1138.0673860068998,1120.9296910524658,48.5
gar,SAKO,Indonesia,1604.2777422287666,1313.3728962357711,308.38448552597384,298.37820260036807,23.5
gar,SUNGAI AIR JERNIH,Indonesia,3121.7410743896394,2970.0608067560715,98.98931228404535,49.941733188927174,3.3
gar,RANTAU PANJANG,Indonesia,1200.9636097545776,1106.8989866383808,28.871174588799477,20.290374226868153,2.6
gar,GUNUNG KOMBENG,Indonesia,3881.106606937921,2088.681223759552,348.40544500947,339.73552763462067,16.7
gar,BANGUNG NUSA MANDIRI KENARI,Indonesia,2652.324774669732,2607.116425385224,50.865656752270816,47.405042239000984,2.0
sdguthrie,BINUANG (SOU 28),Malaysia,3128.148128067068,3008.387962753894,2931.934750509962,2915.8101537927096,97.5
sdguthrie,MEROTAI (SOU 30),Malaysia,5342.973682961259,3337.4481173853947,3066.359918088567,3027.4812025711512,91.9
sdguthrie,SANDAKAN BAY (SOU 26),Malaysia,3295.314047363667,2745.813380908178,2634.8632235638365,2548.2918069473967,96.0
sdguthrie,EAST (SOU 8),Malaysia,2021.3300366307017,1584.3211038667198,1009.4359815860786,553.638613273934,63.7
sdguthrie,TANAH MERAH (SOU 14),Malaysia,2613.570241997449,1638.7008854882986,941.6283135911119,772.7832444266944,57.5
sdguthrie,SEGALIUD (SOU 25),Malaysia,3921.058655351509,3373.6191971186613,3094.4778556170413,2964.6458696412983,91.7
sdguthrie,WEST (SOU 9),Malaysia,1769.3152060979278,1118.4965509851481,768.0038095423112,660.3658884838223,68.7
sdguthrie,SUNGAI DINGIN (SOU 1),Malaysia,2961.112681388443,1991.7495009418783,792.355879215253,678.7290002909066,39.8
sdguthrie,YONG PENG (SOU 19A),Malaysia,4226.371499398091,2962.017866724435,2047.8960092798475,377.17134436696193,69.1
sdguthrie,BUKIT KERAYONG (SOU 7),Malaysia,2200.619737792925,1710.1307186796962,796.876257058978,386.3768066184194,46.6
sdguthrie,JABOR (SOU 12),Malaysia,3026.9870888925743,2607.2141424783304,1338.707292114081,1229.3148839450348,51.3
sdguthrie,TENNAMARAM (SOU 6),Malaysia,1814.4514201900813,1256.908852356614,849.739024093747,617.5635765694519,67.6
sdguthrie,GIRAM (SOU 29),Malaysia,7774.629662965579,6321.193415005036,6182.743439006717,6086.935977761125,97.8
sdguthrie,GUNUNG MAS (SOU 21),Malaysia,5543.78052430172,4272.175510356328,3767.9403109503714,3241.559461513541,88.2
sdguthrie,DIAMOND JUBILEE (SOU 18),Malaysia,2996.7761961152846,2023.7722519580054,907.5349424795482,525.2862541291644,44.8
sdguthrie,NORDANAL (SOU 19),Malaysia,2942.1750347150632,2188.978197183473,1087.6150992160044,213.15405036509037,49.7
sdguthrie,CHAAH (SOU 20),Malaysia,2477.4935377742318,1653.3414455807085,1060.3973879784053,441.2327143840639,64.1
sdguthrie,ELPHIL (SOU 3),Malaysia,3880.917291705608,2719.164554752349,1429.2162995717983,928.9052584075749,52.6
sdguthrie,BUKIT PUTERI (SOU 10),Malaysia,4196.726572474472,2936.1089363295387,1910.6586635391802,1801.9719125239296,65.1
sdguthrie,SERI INTAN (SOU 5),Malaysia,3526.895002607812,2185.802000184619,1822.911120241734,1193.7953511624064,83.4
sdguthrie,BUKIT BENUT (SOU 22),Malaysia,3362.6073784355985,2511.934250720927,2242.4110067660613,2007.9135047131606,89.3
sdguthrie,SELABA (SOU 5),Malaysia,2584.462195718411,2235.93899527797,1427.9372507418195,820.0037413353723,63.9
sdguthrie,FLEMINGTON (SOU 4),Malaysia,3404.4136502237748,1941.3429227862587,1307.5381045523234,399.9392636691823,67.4
sdguthrie,KERDAU (SOU 11),Malaysia,1647.9445635438576,1368.3539315572261,304.47820931734407,217.72512219603738,22.3
sdguthrie,KOK FOH (SOU 16),Malaysia,3712.525605772947,2539.3579666661285,957.4252202246996,791.0847795121517,37.7
sdguthrie,LABU (SOU 13),Malaysia,2180.441791954513,1379.6901699542414,528.3035764776901,414.7012573220274,38.3
sdguthrie,SUA BETONG (SOU 15),Malaysia,2474.926273043789,1153.7149690421775,716.5678621129077,484.05754173923924,62.1
sdguthrie,MELALAP (SOU 27),Malaysia,1422.6662468893346,1106.2926188807855,190.41324163622716,147.89171494543552,17.2
sdguthrie,HADAPAN (SOU 24),Malaysia,3082.8411423274933,2203.8286512791524,1787.9965778397282,427.5913007723058,81.1
sdguthrie,CHERSONESE (SOU 2),Malaysia,1070.4777650677463,744.6341295656913,327.95407157812053,250.2877587792628,44.0
sdguthrie,PEKAKA (SOU 34),Malaysia,5834.734247335475,4738.539948357646,4112.524618071758,4103.690293249929,86.8
sdguthrie,LAVANG (SOU 31),Malaysia,4377.154015913366,3459.2621959636335,3119.778375833585,3114.8703100525877,90.2
sdguthrie,RAJAWALI (SOU 32),Malaysia,6272.689963766055,4553.450053559216,3908.400144211481,3793.3599337558253,85.8
sdguthrie,DERAWAN (SOU 33),Malaysia,6496.434252455896,4009.5513734634605,3679.614703771911,3614.8651347203295,91.8
sdguthrie,ULU REMIS (SOU 23),Malaysia,2444.9951329170226,1801.3890926459544,1683.8923500917992,753.0452794069171,93.5
sdguthrie,"RANTAU PANJANG POM, PT GPI",Indonesia,4202.671067881744,3120.2003510581826,294.83455392338476,286.352545481102,9.4
sdguthrie,KEMPAS (SOU 17),Malaysia,3360.0624601993413,2766.244785076437,1890.2942011803975,1114.3172269744325,68.3
sdguthrie,PAGOH (SOU 19),Malaysia,2553.398969546644,1708.849769343493,728.3514354797849,175.28411654382944,42.6
sdguthrie,SEPANG (SOU 09A),Malaysia,2298.427304715821,1308.4965230893856,812.1893341522295,504.9094190239907,62.1
sdguthrie,MOSTYN (SOU 30B),Malaysia,5148.5749611254405,4487.493278563138,4254.690332005363,4052.8133907323377,94.8
sdguthrie,ERAP / MARKHAM FAMRING ,Papua New Guinea,1399.8873800162808,628.8479281901728,7.372538231313229,0.0,1.2
sdguthrie,TAMIANG POM,Indonesia,3138.2965833592543,2828.8791828088906,956.6559063276825,409.0062391518961,33.8
musimmas,BATANG KULIM,Indonesia,5997.684550504706,4981.2017513225765,3740.0577686731135,3427.8238798726134,75.1
musimmas,AGROWIRATAMA,Indonesia,4504.488988451389,2657.775362023828,1837.6547434561103,1258.363786668579,69.1
musimmas,SUKAJADI SAWIT MEKAR 1,Indonesia,1189.3336479750944,891.9895539195517,40.45913963721079,31.441293843090534,4.5
musimmas,SUKAJADI SAWIT MEKAR 2,Indonesia,1115.7849054546552,1006.4726590429452,47.46409750741486,46.749544866499946,4.7
musimmas,MAJU ANEKA SAWIT,Indonesia,1192.1469482396096,926.7907137253704,60.096983304473696,46.96764463022643,6.5
musimmas,BERKAT SAWIT SEJATI,Indonesia,5001.664062326287,2887.8735257699495,1540.148724661154,714.0013674862242,53.3
musimmas,UNGGUL LESTARI,Indonesia,2136.464037117182,1946.759682110244,230.40260509845672,216.64066031274257,11.8
musimmas,SIRINGO RINGO,Indonesia,3553.3688650897843,3299.9750338253734,1108.3307840917341,561.2065678893349,33.6
musimmas,GUNTUNG IDAMAN NUSA 1,Indonesia,2078.797050204462,1468.0771620238536,861.5085348991489,847.7413633821344,58.7
musimmas,BAHANA NUSA INTERINDO,Indonesia,2304.990696610126,1966.4819814167774,870.3758364263118,490.4053938910365,44.3
musimmas,GUNTUNG IDAMAN NUSA 2,Indonesia,4533.547906058237,1993.6230160775433,1444.741040267109,1355.8800596148362,72.5
musimmas,MULTI PERSADA GATRA MEGAH,Indonesia,1177.3561253235966,1111.1348359027038,33.87855550646782,28.425836645066738,3.0
musimmas,SINAR AGRO RAYA,Indonesia,4744.1059455799095,2703.447069422171,2382.4709623893104,1750.4099574746458,88.1
musimmas,INDOMAKMUR SAWIT BERJAYA,Indonesia,4558.754691779212,3817.55379256054,156.68016724268008,0.0,4.1
musimmas,SARANA ESA CITA,Indonesia,2115.339499806211,1785.0776933013221,55.23575322636787,52.64388075032655,3.1
musimmas,GLOBALINDO ALAM PERKASA PALM OIL MILL,Indonesia,1137.5134632028437,1018.7045875058163,8.84106020629406,7.144237786531448,0.9
musimmas,PT. LESTARI ABADI PERKASA,Indonesia,2823.7926789724447,2773.715795231977,11.884648144245148,10.454918138682842,0.4
musimmas,AGRO PALINDO SAKTI,Indonesia,2894.418540015246,2101.9360160046344,532.9390168567792,358.88824017775414,25.4
ioi,PAMOL SABAH,Malaysia,2789.916613209339,1575.1399821524233,1219.3514290501962,1133.2627328920014,77.4
ioi,GOMALI,Malaysia,4408.893368784718,2182.658504180113,752.4290045185415,597.7303852885962,34.5
ioi,PAMOL KLUANG,Malaysia,2041.104719321742,1247.3807514339096,1046.2852433491857,681.4875272675472,83.9
ioi,SAKILAN,Malaysia,4701.470249800867,3759.9223546824333,3570.7156013693593,3283.4747747318415,95.0
ioi,BATURONG,Malaysia,3569.980258755816,2976.3337873542127,2901.5498041869373,2857.718563804118,97.5
ioi,BUKIT LEELAU,Malaysia,3892.939693723181,3554.7713495928338,2107.0217253580117,2105.1472840770507,59.3
ioi,MAYVIN,Malaysia,6062.71089732409,2295.1987817373342,2242.26226878581,2241.995340962386,97.7
ioi,PUKIN,Malaysia,781.9670921346701,387.4260713870035,196.69284221477372,191.06685998238189,50.8
ioi,SYARIMO,Malaysia,12317.757444139772,9808.038802661516,9611.851353738552,9586.746062342172,98.0
ioi,LADANG SABAH,Malaysia,6245.563603089899,5521.145857678354,5406.548201132931,5317.479709822643,97.9
ioi,LEEPANG,Malaysia,9414.265494681013,7499.919079399927,7416.319782042941,7398.343918928942,98.9
ioi,MORISEM,Malaysia,7432.295814562846,6138.268207210913,6068.141957927361,6067.60798932971,98.9
ioi,UNICO,Malaysia,5023.929491021779,3943.054121202377,3781.6539213158926,3533.5843100931133,95.9
ioi,UNICO DESA,Malaysia,4510.6002940225735,3935.700407824505,3861.186299558218,3833.2397044109657,98.1
ioi,SUKSES KARYA SAWIT,Indonesia,1191.9694611075363,1079.943841415117,1.9644784182310104,1.7858870476484299,0.2
