company,mill_name,year,loss_ha
sdguthrie,CHAAH (SOU 20),2021,438.1842
sdguthrie,CHAAH (SOU 20),2022,425.0676
sdguthrie,CHAAH (SOU 20),2023,662.7138
sdguthrie,CHAAH (SOU 20),2024,541.0925
sdguthrie,CHAAH (SOU 20),2025,410.4355
sdguthrie,ELPHIL (SOU 3),2021,660.0659
sdguthrie,ELPHIL (SOU 3),2022,690.4665
sdguthrie,ELPHIL (SOU 3),2023,1007.2184
sdguthrie,ELPHIL (SOU 3),2024,699.0159
sdguthrie,ELPHIL (SOU 3),2025,824.1506
sdguthrie,BUKIT PUTERI (SOU 10),2021,409.9707
sdguthrie,BUKIT PUTERI (SOU 10),2022,428.2691
sdguthrie,BUKIT PUTERI (SOU 10),2023,1055.9152
sdguthrie,BUKIT PUTERI (SOU 10),2024,620.2217
sdguthrie,BUKIT PUTERI (SOU 10),2025,1682.3499
sdguthrie,SERI INTAN (SOU 5),2021,541.4227
sdguthrie,SERI INTAN (SOU 5),2022,761.1735
sdguthrie,SERI INTAN (SOU 5),2023,952.8574
sdguthrie,SERI INTAN (SOU 5),2024,761.3528
sdguthrie,SERI INTAN (SOU 5),2025,510.0886
sdguthrie,BUKIT BENUT (SOU 22),2021,631.9512
sdguthrie,BUKIT BENUT (SOU 22),2022,651.3617
sdguthrie,BUKIT BENUT (SOU 22),2023,945.0698
sdguthrie,BUKIT BENUT (SOU 22),2024,739.1526
sdguthrie,BUKIT BENUT (SOU 22),2025,395.0721
sdguthrie,SELABA (SOU 5),2021,1240.1652
sdguthrie,SELABA (SOU 5),2022,423.5277
sdguthrie,SELABA (SOU 5),2023,464.6929
sdguthrie,SELABA (SOU 5),2024,292.0306
sdguthrie,SELABA (SOU 5),2025,164.0458
sdguthrie,FLEMINGTON (SOU 4),2021,562.6722
sdguthrie,FLEMINGTON (SOU 4),2022,424.3206
sdguthrie,FLEMINGTON (SOU 4),2023,732.3802
sdguthrie,FLEMINGTON (SOU 4),2024,796.4054
sdguthrie,FLEMINGTON (SOU 4),2025,888.6352
sdguthrie,KERDAU (SOU 11),2021,459.6905
sdguthrie,KERDAU (SOU 11),2022,188.676
sdguthrie,KERDAU (SOU 11),2023,386.6362
sdguthrie,KERDAU (SOU 11),2024,277.7844
sdguthrie,KERDAU (SOU 11),2025,335.1574
sdguthrie,KOK FOH (SOU 16),2021,358.3748
sdguthrie,KOK FOH (SOU 16),2022,478.0721
sdguthrie,KOK FOH (SOU 16),2023,621.9793
sdguthrie,KOK FOH (SOU 16),2024,1089.4662
sdguthrie,KOK FOH (SOU 16),2025,1164.6332
sdguthrie,LABU (SOU 13),2021,457.0438
sdguthrie,LABU (SOU 13),2022,412.8629
sdguthrie,LABU (SOU 13),2023,471.8664
sdguthrie,LABU (SOU 13),2024,552.736
sdguthrie,LABU (SOU 13),2025,285.9326
sdguthrie,SUA BETONG (SOU 15),2021,821.2539
sdguthrie,SUA BETONG (SOU 15),2022,357.6616
sdguthrie,SUA BETONG (SOU 15),2023,468.6369
sdguthrie,SUA BETONG (SOU 15),2024,413.8168
sdguthrie,SUA BETONG (SOU 15),2025,413.557
sdguthrie,MELALAP (SOU 27),2021,233.6588
sdguthrie,MELALAP (SOU 27),2022,138.039
sdguthrie,MELALAP (SOU 27),2023,332.7818
sdguthrie,MELALAP (SOU 27),2024,261.8301
sdguthrie,MELALAP (SOU 27),2025,456.3564
sdguthrie,HADAPAN (SOU 24),2021,483.2215
sdguthrie,HADAPAN (SOU 24),2022,352.6674
sdguthrie,HADAPAN (SOU 24),2023,689.2992
sdguthrie,HADAPAN (SOU 24),2024,664.5205
sdguthrie,HADAPAN (SOU 24),2025,893.1326
sdguthrie,CHERSONESE (SOU 2),2021,334.1016
sdguthrie,CHERSONESE (SOU 2),2022,146.2101
sdguthrie,CHERSONESE (SOU 2),2023,305.2251
sdguthrie,CHERSONESE (SOU 2),2024,119.6743
sdguthrie,CHERSONESE (SOU 2),2025,165.2666
sdguthrie,PEKAKA (SOU 34),2021,1234.7623
sdguthrie,PEKAKA (SOU 34),2022,2225.8052
sdguthrie,PEKAKA (SOU 34),2023,1409.8106
sdguthrie,PEKAKA (SOU 34),2024,351.8978
sdguthrie,PEKAKA (SOU 34),2025,612.4584
sdguthrie,LAVANG (SOU 31),2021,1067.7161
sdguthrie,LAVANG (SOU 31),2022,1512.9366
sdguthrie,LAVANG (SOU 31),2023,1009.4399
sdguthrie,LAVANG (SOU 31),2024,310.3643
sdguthrie,LAVANG (SOU 31),2025,476.6971
sdguthrie,RAJAWALI (SOU 32),2021,837.3859
sdguthrie,RAJAWALI (SOU 32),2022,1593.6883
sdguthrie,RAJAWALI (SOU 32),2023,1703.8293
sdguthrie,RAJAWALI (SOU 32),2024,1383.9387
sdguthrie,RAJAWALI (SOU 32),2025,753.8479
sdguthrie,DERAWAN (SOU 33),2021,594.0097
sdguthrie,DERAWAN (SOU 33),2022,1119.8129
sdguthrie,DERAWAN (SOU 33),2023,1376.8166
sdguthrie,DERAWAN (SOU 33),2024,1587.3577
sdguthrie,DERAWAN (SOU 33),2025,1818.4373
sdguthrie,ULU REMIS (SOU 23),2021,469.027
sdguthrie,ULU REMIS (SOU 23),2022,356.2754
sdguthrie,ULU REMIS (SOU 23),2023,622.5675
sdguthrie,ULU REMIS (SOU 23),2024,361.2575
sdguthrie,ULU REMIS (SOU 23),2025,635.8677
sdguthrie,"RANTAU PANJANG POM, PT GPI",2021,415.2705
sdguthrie,"RANTAU PANJANG POM, PT GPI",2022,483.8326
sdguthrie,"RANTAU PANJANG POM, PT GPI",2023,905.8228
sdguthrie,"RANTAU PANJANG POM, PT GPI",2024,1317.9547
sdguthrie,"RANTAU PANJANG POM, PT GPI",2025,1079.7905
sdguthrie,KEMPAS (SOU 17),2021,847.799
sdguthrie,KEMPAS (SOU 17),2022,433.7076
sdguthrie,KEMPAS (SOU 17),2023,746.1845
sdguthrie,KEMPAS (SOU 17),2024,500.9116
sdguthrie,KEMPAS (SOU 17),2025,831.4597
sdguthrie,PAGOH (SOU 19),2021,304.226
sdguthrie,PAGOH (SOU 19),2022,351.2768
sdguthrie,PAGOH (SOU 19),2023,600.2825
sdguthrie,PAGOH (SOU 19),2024,801.6207
sdguthrie,PAGOH (SOU 19),2025,495.9929
sdguthrie,SEPANG (SOU 09A),2021,631.309
sdguthrie,SEPANG (SOU 09A),2022,363.1656
sdguthrie,SEPANG (SOU 09A),2023,370.8074
sdguthrie,SEPANG (SOU 09A),2024,454.0412
sdguthrie,SEPANG (SOU 09A),2025,479.1041
sdguthrie,MOSTYN (SOU 30B),2021,1095.5957
sdguthrie,MOSTYN (SOU 30B),2022,1093.0393
sdguthrie,MOSTYN (SOU 30B),2023,1007.7669
sdguthrie,MOSTYN (SOU 30B),2024,890.9651
sdguthrie,MOSTYN (SOU 30B),2025,1061.208
sdguthrie,ERAP / MARKHAM FAMRING ,2021,137.0941
sdguthrie,ERAP / MARKHAM FAMRING ,2022,1041.7589
sdguthrie,ERAP / MARKHAM FAMRING ,2023,111.4414
sdguthrie,ERAP / MARKHAM FAMRING ,2024,31.4958
sdguthrie,ERAP / MARKHAM FAMRING ,2025,78.0973
sdguthrie,TAMIANG POM,2021,383.1762
sdguthrie,TAMIANG POM,2022,290.2314
sdguthrie,TAMIANG POM,2023,1114.987
sdguthrie,TAMIANG POM,2024,937.4295
sdguthrie,TAMIANG POM,2025,412.4725
wilmar,SABAHMAS,2021,2025.1315
wilmar,SABAHMAS,2022,589.1931
wilmar,SABAHMAS,2023,1438.0563
wilmar,SABAHMAS,2024,1372.1483
wilmar,SABAHMAS,2025,1250.5122
wilmar,SAREMAS 1,2021,842.2343
wilmar,SAREMAS 1,2022,876.6504
wilmar,SAREMAS 1,2023,588.1264
wilmar,SAREMAS 1,2024,453.2228
wilmar,SAREMAS 1,2025,458.6831
wilmar,SAREMAS 2,2021,1880.6885
wilmar,SAREMAS 2,2022,1051.8347
wilmar,SAREMAS 2,2023,1651.4728
wilmar,SAREMAS 2,2024,201.689
wilmar,SAREMAS 2,2025,63.7974
wilmar,TERUSAN,2021,183.3422
wilmar,TERUSAN,2022,94.9003
wilmar,TERUSAN,2023,281.3189
wilmar,TERUSAN,2024,473.9115
wilmar,TERUSAN,2025,318.7599
wilmar,SAPI,2021,493.022
wilmar,SAPI,2022,271.1248
wilmar,SAPI,2023,374.0208
wilmar,SAPI,2024,384.5979
wilmar,SAPI,2025,526.7306
wilmar,REKA HALUS,2021,293.6203
wilmar,REKA HALUS,2022,375.5841
wilmar,REKA HALUS,2023,506.8396
wilmar,REKA HALUS,2024,673.2961
wilmar,REKA HALUS,2025,544.839
wilmar,MUSTIKA SEMBULUH 1,2021,84.873
wilmar,MUSTIKA SEMBULUH 1,2022,114.2553
wilmar,MUSTIKA SEMBULUH 1,2023,657.5386
wilmar,MUSTIKA SEMBULUH 1,2024,560.9305
wilmar,MUSTIKA SEMBULUH 1,2025,818.9337
wilmar,KERRY SAWIT INDONESIA 1,2021,22.2346
wilmar,KERRY SAWIT INDONESIA 1,2022,71.792
wilmar,KERRY SAWIT INDONESIA 1,2023,124.0915
wilmar,KERRY SAWIT INDONESIA 1,2024,102.2541
wilmar,KERRY SAWIT INDONESIA 1,2025,190.4381
wilmar,RIBUBONUS,2021,194.7532
wilmar,RIBUBONUS,2022,142.6816
wilmar,RIBUBONUS,2023,280.5856
wilmar,RIBUBONUS,2024,304.4859
wilmar,RIBUBONUS,2025,386.3774
wilmar,SRI KAMUSAN,2021,59.3166
wilmar,SRI KAMUSAN,2022,260.278
wilmar,SRI KAMUSAN,2023,709.2485
wilmar,SRI KAMUSAN,2024,1292.8066
wilmar,SRI KAMUSAN,2025,697.7563
wilmar,PINANG AWAM,2021,1053.8928
wilmar,PINANG AWAM,2022,748.642
wilmar,PINANG AWAM,2023,735.5734
wilmar,PINANG AWAM,2024,1013.9773
wilmar,PINANG AWAM,2025,425.4751
wilmar,KENCANA SAWIT INDONESIA,2021,2278.8811
wilmar,KENCANA SAWIT INDONESIA,2022,1956.5379
wilmar,KENCANA SAWIT INDONESIA,2023,2137.0346
wilmar,KENCANA SAWIT INDONESIA,2024,2244.8543
wilmar,KENCANA SAWIT INDONESIA,2025,479.429
wilmar,BURNAI TIMUR,2021,708.0271
wilmar,BURNAI TIMUR,2022,581.3515
wilmar,BURNAI TIMUR,2023,687.617
wilmar,BURNAI TIMUR,2024,469.5051
wilmar,BURNAI TIMUR,2025,382.5101
wilmar,SARANA TITIAN PERMATA PKS 1,2021,16.2338
wilmar,SARANA TITIAN PERMATA PKS 1,2022,22.8745
wilmar,SARANA TITIAN PERMATA PKS 1,2023,184.4628
wilmar,SARANA TITIAN PERMATA PKS 1,2024,161.1038
wilmar,SARANA TITIAN PERMATA PKS 1,2025,111.8416
wilmar,AMP PLANTATION,2021,405.4253
wilmar,AMP PLANTATION,2022,389.8651
wilmar,AMP PLANTATION,2023,251.1647
wilmar,AMP PLANTATION,2024,264.448
wilmar,AMP PLANTATION,2025,409.3533
wilmar,DABUK REJO,2021,118.5293
wilmar,DABUK REJO,2022,187.4171
wilmar,DABUK REJO,2023,376.8523
wilmar,DABUK REJO,2024,1700.1315
wilmar,DABUK REJO,2025,1473.1446
wilmar,BUMI SAWIT KENCANA,2021,65.4603
wilmar,BUMI SAWIT KENCANA,2022,154.274
wilmar,BUMI SAWIT KENCANA,2023,287.2617
wilmar,BUMI SAWIT KENCANA,2024,323.6213
wilmar,BUMI SAWIT KENCANA,2025,192.3873
wilmar,BENSO OIL PALM PLANTATION OIL MILL,2021,338.5376
wilmar,BENSO OIL PALM PLANTATION OIL MILL,2022,713.7745
wilmar,BENSO OIL PALM PLANTATION OIL MILL,2023,1165.9201
wilmar,BENSO OIL PALM PLANTATION OIL MILL,2024,883.8545
wilmar,BENSO OIL PALM PLANTATION OIL MILL,2025,954.9964
wilmar,DAYA LABUHAN INDAH 2,2021,586.2523
wilmar,DAYA LABUHAN INDAH 2,2022,694.2303
wilmar,DAYA LABUHAN INDAH 2,2023,421.2114
wilmar,DAYA LABUHAN INDAH 2,2024,1362.1052
wilmar,DAYA LABUHAN INDAH 2,2025,202.9202
