company,claim
sdguthrie,"pledge to deforestation-free sourcing is driven by advanced SORT SET IN ORDER SHINE STANDARDISE SUSTAIN Indonesia operations
traceability tools and ongoing supplier engagement."
sdguthrie,"uphold stringent quality standards, as well as good hygiene
practices such as zero dumping on ramp floors and fabrication/
modification of mill machinery to eliminate direct contamination
by lubricants."
sdguthrie,"By adhering to stringent safety and health standards, we protect our people and also strengthen our platform for highlighting our ongoing efforts to promote a safe
reputation as a responsible employer."
sdguthrie,"By capturing and converting methane from palm oil mill effluent (POME) into biogas, we actively reduce
greenhouse gas emission (GHG), while optimising resource efficiency."
sdguthrie,We are committed to rigorous environmental stewardship across our operations.
sdguthrie,"This initiative resulted in annual savings of 767 metric
practices are in place to ensure compliance with environmental regulations, while minimising our ecological impact."
sdguthrie,"Sustainable Resource Management 2
Guided by our Responsible Agriculture Charter, we take The shift from steam to electrical tracing marks a major
proactive steps in minimising pollution, hazards, and waste improvement in energy efficiency."
sdguthrie,"Additionally, we utilise mulched empty 22 km of pipeline, with estimated annual savings of around
management across all levels of our organisation."
sdguthrie,"SD Guthrie International Biodiesel launched the UCO Buy Back Effluent To uphold the highest standards, we have invested in state-of-the art laboratory testing
Programme to educate employees about proper UCO disposal."
sdguthrie,"We are committed to ensuring that the
(PKE) in animal feed not only supports sustainable agricultural SD Guthrie International Biodiesel’s refinery."
sdguthrie,"Effluent
discharge is carefully managed through:
Spent Bleaching Earth (SBE), a by-product generated from the Plans to expand the initiative are underway to promote proper
oil refining process, is repurposed into eco-friendly construction disposal practices."
sdguthrie,"These include UCO collection from • Systematic desludging and daily sampling of key water quality parameters,
materials and recycled to recover residual oils."
sdguthrie,"Throughout FY2024, we observed an overall increase in palm
oil yield across our operations in Malaysia, reflecting the • Monthly evaluations of all treatment ponds to ensure continuous compliance and
Our circularity programme, Circularity @ SD Guthrie success of our sustainable agricultural practices and initiatives."
sdguthrie,"International, aims to enhance energy efficiency and reduce This positive development underscores our push towards
carbon emissions by reducing, reusing or recycling of waste responsible production and operational efficiency."
sdguthrie,"We have installed rainwater harvesting systems,
Effluent and To enhance our regulatory compliance, we are in the midst of proposing new sampling
redesigned water distribution infrastructure to minimise Demonstrating our progress in driving a circular economy,
Sampling requirements, which include:
leakages, and implemented various heat and cold energy we collected a total of 15,135 kg of UCO through our UCO
Requirements
recovery systems, while also pursuing energy optimisation Buy Back Programme."
sdguthrie,We actively recover and repurpose by-products to create value and reduce waste as per our Circularity approach.
sdguthrie,"This involves
conserving various species of biodiversity, mitigating and managing human-wildlife conflicts, and pursuing
large-scale reforestation initiatives to safeguard vital ecosystems."
sdguthrie,"Additionally, we prioritise responsible
water conservation and management to ensure a sustainable future for both people and planet, in line with
our “Beyond Zero” Framework."
sdguthrie,We are also dedicated to advancing minimising our ecological footprint while conserving and rehabilitating the areas which we operate in.
sdguthrie,"Our sustainability initiatives
94,572 94,420 circular economy solutions for material waste streams focus on conserving key species such as elephants, orangutans, tigers, otters, proboscis monkeys, Queen Alexandra’s Birdwing
and pursuing innovative strategies to reduce waste Butterflies, and Santa Cruz Ground Doves through awareness programmes, habitat management, and restoration and breeding
throughout our business."
sdguthrie,"Introduced in 2023, our Biodiversity Policy reinforces the principles outlined in our Responsible Agriculture Charter."
sdguthrie,"We expanded reforestation efforts during the year, focusing on RTE and
0.95 native species to enhance biodiversity and carbon sequestration."
sdguthrie,"Building on our Biodiversity Policy, we are working towards developing a comprehensive Conservation and Biodiversity Framework
0.74
0.65 0.67 by FY2025, in line with our aims under the “Beyond Zero” Framework."
sdguthrie,"Running from 2023 to 2025, the project aims to
accelerating data collection, establishing biodiversity reference
nursery have been successfully transplanted into our estates’ establish a peat rehabilitation model for converting unproductive
frameworks across diverse habitats, as well as enhancing our
buffer zones."
sdguthrie,"Geotagging
The project will evaluate best management practices for
SD GUTHRIE’S PERFORMANCE In 2024, we established our digital mapping efforts for the peatland rehabilitation as outlined in the Roundtable on
Nestlé RELeaf tree planting project."
sdguthrie,"in 2022, 26 estates have participated, with 23 successfully
Our reforestation efforts targeted areas that are designated as In addition, the rehabilitated area will secure carbon stocks
conducting geotagging using internal software applications."
sdguthrie,"“Restore and Connect” under our Conservation and Biodiversity to support the Group’s net-zero carbon emission goals,
The Conservation & Biodiversity Unit (CBU) developed a
Approach (CBA) framework, revitalising ecosystems while whilexfostering collaborative R&D partnerships with local
dashboard to visualise the geotagging results, mapping a total
enhancing ecological connectivity."
sdguthrie,"We also advanced our efforts to convert rubber plantations Other estates that were not involved in the RELeaf project
into forests, enhancing carbon sequestration and offsetting also conducted geotagging as part of the Group’s climate
MOVING FORWARD
our carbon footprint."
sdguthrie,"By the end of 2024, we successfully planted 13,719 trees were recorded as standing or available across we will continue to enhance our reforestation and biodiversity
41,967 trees across 56 hectares."
sdguthrie,"Additionally, our
regenerative agriculture framework is on track for completion
In collaboration with three smallholder growers and the SD Guthrie and the Malaysian Palm Oil Green Conservation by 2028."
sdguthrie,"The tree nurseries that were March 2023 to restore 50 hectares of peatland in Lavang Estate, and accelerate our journey toward net-zero."
sdguthrie,"Human Rights and Fair Labour Practices | Community Rights and Development | Diversity and Inclusion
Human Rights and Fair Labour Practices
SD Guthrie is committed to effective water management to achieve efficient irrigation, support sustainable growth, and safeguard
water quality in surface systems throughout our operations."
sdguthrie,"in place to protect complainants from reprisals or intimidation
supported by initiatives focused on efficiency and responsible 2023 datasets and quantifies the volume of Water Footprint of palm
resource management."
