company,mill_name,lat,lon,spearman_rho,spearman_p,precision,recall,iou,n_tiles
sdguthrie,BINUANG (SOU 28),4.704457,118.060186,0.118,0.0,0.097,0.21,0.071,1681
sdguthrie,MEROTAI (SOU 30),4.369347,117.832905,0.208,0.0,0.166,0.371,0.13,1681
sdguthrie,SANDAKAN BAY (SOU 26),5.641362,118.166868,0.177,0.0,0.174,0.365,0.134,1681
sdguthrie,EAST (SOU 8),2.883333,101.436136,0.142,0.0,0.058,0.249,0.049,1681
sdguthrie,TANAH MERAH (SOU 14),2.655278,101.792778,0.132,0.0,0.079,0.325,0.068,1681
sdguthrie,SEGALIUD (SOU 25),5.726001,117.754574,0.186,0.0,0.166,0.296,0.119,1681
sdguthrie,WEST (SOU 9),2.905,101.361306,0.109,1e-05,0.047,0.281,0.042,1681
sdguthrie,SUNGAI DINGIN (SOU 1),5.39432,100.71117,0.232,0.0,0.156,0.419,0.129,1681
sdguthrie,YONG PENG (SOU 19A),2.058808,103.148394,0.166,0.0,0.148,0.319,0.113,1681
sdguthrie,BUKIT KERAYONG (SOU 7),3.186861,101.374889,0.132,0.0,0.091,0.357,0.078,1681
sdguthrie,JABOR (SOU 12),3.960833,103.308889,0.314,0.0,0.17,0.441,0.14,1681
sdguthrie,TENNAMARAM (SOU 6),3.395639,101.417614,0.174,0.0,0.066,0.295,0.057,1681
sdguthrie,GIRAM (SOU 29),4.586785,118.193914,0.338,0.0,0.27,0.284,0.161,1681
sdguthrie,GUNUNG MAS (SOU 21),2.243544,103.137941,0.255,0.0,0.216,0.334,0.151,1681
sdguthrie,DIAMOND JUBILEE (SOU 18),2.324247,102.482843,0.137,0.0,0.127,0.346,0.103,1681
sdguthrie,NORDANAL (SOU 19),2.183333,102.733333,0.106,1e-05,0.095,0.277,0.076,1681
sdguthrie,CHAAH (SOU 20),2.148725,102.973994,0.083,0.0007,0.07,0.255,0.058,1681
sdguthrie,ELPHIL (SOU 3),4.89058,101.093096,0.206,0.0,0.13,0.322,0.102,1681
sdguthrie,BUKIT PUTERI (SOU 10),4.202694,101.862639,0.178,0.0,0.162,0.378,0.128,1681
sdguthrie,SERI INTAN (SOU 5),3.969228,100.985558,0.122,0.0,0.1,0.296,0.081,1681
sdguthrie,BUKIT BENUT (SOU 22),1.931143,103.347365,0.114,0.0,0.176,0.399,0.139,1681
sdguthrie,SELABA (SOU 5),3.9889722,101.081278,0.162,0.0,0.131,0.356,0.106,1681
sdguthrie,FLEMINGTON (SOU 4),3.928056,100.857222,-0.016,0.50162,0.061,0.206,0.05,1681
sdguthrie,KERDAU (SOU 11),3.569444,102.278333,0.102,3e-05,0.049,0.212,0.042,1681
sdguthrie,KOK FOH (SOU 16),2.784667,102.504167,0.158,0.0,0.124,0.324,0.099,1681
sdguthrie,LABU (SOU 13),2.748889,101.8045,0.111,1e-05,0.061,0.263,0.052,1681
sdguthrie,SUA BETONG (SOU 15),2.52833,101.895278,0.124,0.0,0.072,0.35,0.063,1681
sdguthrie,MELALAP (SOU 27),5.230789,115.986263,-0.167,0.0,0.016,0.099,0.014,1681
sdguthrie,HADAPAN (SOU 24),1.76216,103.448669,0.229,0.0,0.08,0.234,0.063,1681
sdguthrie,CHERSONESE (SOU 2),4.978457,100.461902,0.113,0.0,0.045,0.344,0.041,1681
sdguthrie,PEKAKA (SOU 34),3.461379,113.654176,0.159,0.0,0.197,0.297,0.134,1681
sdguthrie,LAVANG (SOU 31),3.4283333,113.60028,0.22,0.0,0.157,0.306,0.116,1681
sdguthrie,RAJAWALI (SOU 32),3.372505,113.400597,0.308,0.0,0.258,0.393,0.184,1681
